query_seq,closest_neighbor,min_dist,neighborhood_mean,neighborhood_median
G000007845,['G000008165'],2.3827399999999998e-05,0.11069835274,0.09408885
G000007865,['G000277125'],0.111073,0.1517333,0.1544615
G000007905,['G001460635'],0.109331,0.20093209999999997,0.21089699999999997
G000007925,['G000760275'],2.3827399999999998e-05,0.16008935887,0.2412765
G000007945,['G000688835'],0.203604,0.2216137,0.219531
G000007985,['G000817955'],0.19173099999999998,0.24546769999999998,0.263022
G000008025,['G000689175'],0.0235265,0.14633705,0.13076500000000002
G000008045,['G000195735'],0.0613264,0.11730704,0.12272000000000001
G000008165,['G000007845'],2.3827399999999998e-05,0.11065918274,0.09408885
G000008185,['G000755145'],0.08480139999999999,0.22415514,0.2369355
G000008265,"['G001856845', 'G900090055']",0.263022,0.2893892,0.295981
G000008325,"['G000014805', 'G000429625', 'G001312345']",0.23010999999999998,0.2396657,0.243761
G000008345,['G000145555'],0.00701675,0.13777356,0.1443555
G000008385,['G000829315'],0.13694800000000001,0.1748397,0.1578825
G000008465,['G000320945'],0.0312752,0.19444692,0.2369355
G000008505,['G000008165'],0.0157789,0.1126933,0.0931964
G000008525,['G000274045'],0.0348125,0.12534008,0.12261305
G000008545,"['G000230655', 'G000978555']",0.000167546,0.0503839318,0.03660835
G000008565,['G000478785'],0.126974,0.20926609999999998,0.215214
G000008605,"['G000153185', 'G000341735', 'G000383855', 'G000427625', 'G000527095', 'G000733855', 'G000733935', 'G000939975', 'G000968535', 'G001267175']",0.263022,0.263022,0.263022
G000008625,['G000702425'],0.243761,0.2841672,0.295981
G000008645,['G000828575'],0.031174599999999997,0.21887836,0.263022
G000008665,['G000734035'],0.00652391,0.204188334,0.295981
G000008685,['G000502095'],0.013600200000000002,0.07078358,0.0794837
G000008725,['G000068585'],0.00655869,0.160631569,0.170926
G000008745,['G001007125'],0.00028831,0.0989921069,0.00663003
G000008765,"['G000311865', 'G001270375', 'G001950115']",0.263022,0.2860933,0.295981
G000008805,['G000006845'],0.0383209,0.13278056,0.144375
G000008865,['G000012005'],0.0232268,0.0767273,0.03235095
G000008885,"['G000217635', 'G000247565']",0.219531,0.2381109,0.243761
G000008925,['G000615845'],0.219531,0.23451249999999998,0.23010999999999998
G000009025,['G000830885'],0.00621379,0.008946503,0.008771695
G000009065,['G000324625'],0.0006561539999999999,0.0010333842,0.001070695
G000009125,['G000953875'],0.138572,0.1739647,0.178173
G000009145,['G000014765'],0.178173,0.2441025,0.2533915
G000009185,['G000237865'],0.0190552,0.21720821999999998,0.263022
G000009205,['G000953275'],7.15897e-05,0.20506995897,0.23010999999999998
G000009245,['G000833335'],2.3827399999999998e-05,7.639828e-05,8.35572e-05
G000009305,['G000274945'],0.0816138,0.14148973,0.1143762
G000009345,['G000253175'],0.0269907,0.13912627,0.154223
G000009365,['G000756655'],0.18676099999999998,0.2449709,0.263022
G000009545,['G000006785'],0.19173099999999998,0.2067598,0.2072505
G000009705,"['G000204075', 'G001672205']",0.0645437,0.16835614,0.1945115
G000009725,['G000340785'],9.55247e-05,0.09641421347,0.001932565
G000009745,['G000196095'],0.18226900000000001,0.1972089,0.197292
G000009765,['G000968255'],0.00343111,0.124617511,0.13776
G000009825,['G900142675'],0.00819369,0.21744740899999998,0.263022
G000009845,['G000495255'],0.0595738,0.17274857,0.18451499999999998
G000009865,['G000183685'],0.19173099999999998,0.2033422,0.203604
G000009905,"['G000333615', 'G001399675']",0.23010999999999998,0.2410308,0.243761
G000009925,['G000598965'],0.0125405,0.10989718999999999,0.158304
G000009945,['G000007605'],0.13694800000000001,0.1618906,0.164662
G000009965,['G001592435'],0.0882637,0.18446497,0.1976675
G000009985,['G000342045'],0.0949813,0.22478773,0.243761
G000010065,['G000012525'],0.00136596,0.233767282,0.295981
G000010085,['G000517425'],0.129604,0.2190015,0.23010999999999998
G000010125,['G001432245'],0.149777,0.1871091,0.18451499999999998
G000010145,['G001854105'],0.00896738,0.011117512,0.01126505
G000010165,['G001649505'],0.018867500000000002,0.06575286,0.061280350000000004
G000010185,['G000478985'],0.170926,0.1887414,0.19173099999999998
G000010205,['G000964605'],0.00881017,0.083354387,0.025851900000000004
G000010285,['G001408335'],0.104495,0.1985333,0.219531
G000010305,"['G000021985', 'G000062885', 'G000242335', 'G000308635', 'G000425565', 'G000576555', 'G000620625', 'G000687435', 'G000711875', 'G000815185', 'G001005825', 'G001014645', 'G001028625', 'G001037925', 'G001417955', 'G001469965', 'G001552615', 'G001697225']",0.263022,0.263022,0.263022
G000010325,"['G000021725', 'G000024885', 'G000170735', 'G000265295', 'G000744435', 'G000816345', 'G001460635', 'G001497255']",0.263022,0.26961379999999996,0.263022
G000010345,['G000987835'],0.0755413,0.26871503,0.295981
G000010405,['G000015105'],0.17440799999999998,0.25416059999999996,0.263022
G000010425,['G001025155'],0.151946,0.1850498,0.18924599999999997
G000010505,['G000174815'],0.18676099999999998,0.2129345,0.219531
G000010525,['G000473085'],0.13694800000000001,0.21461239999999998,0.22482049999999998
G000010565,['G001263415'],0.219531,0.2457512,0.243761
G000010585,"['G000829555', 'G001431195']",0.23010999999999998,0.2410308,0.243761
G000010605,['G001905365'],0.13538,0.1526723,0.1566845
G000010625,['G000312265'],0.016386599999999998,0.036159369999999996,0.04102325
G000010645,"['G000269945', 'G000812865', 'G900115205']",0.263022,0.2860933,0.295981
G000010665,['G000526455'],0.14382999999999999,0.21608629999999998,0.2369355
G000010785,"['G000512735', 'G000702425']",0.263022,0.2893892,0.295981
G000010825,"['G000963945', 'G001499675']",0.178173,0.1968335,0.203604
G000010985,"['G000017545', 'G000815225']",0.263022,0.2893892,0.295981
G000011005,['G000251105'],0.203604,0.2702638,0.263022
G000011025,['G001063255'],0.21089699999999997,0.2391095,0.243761
G000011065,['G001314975'],0.012729299999999999,0.14735457,0.178173
G000011105,"['G000195935', 'G000211475', 'G001508065']",0.243761,0.2605396,0.263022
G000011125,"['G000591035', 'G001316065']",0.145727,0.2494507,0.263022
G000011165,['G001007125'],0.00028831,0.0005550967000000001,0.00058191
G000011185,"['G001316225', 'G001399695', 'G001402935', 'G001856825', 'G900090055']",0.23010999999999998,0.25452759999999996,0.2369355
G000011205,"['G000024305', 'G000969885', 'G000969925', 'G001719125']",0.263022,0.2827974,0.295981
G000011225,"['G000008685', 'G000227355', 'G000436255']",0.263022,0.2860933,0.295981
G000011245,"['G000621445', 'G001038425']",0.23010999999999998,0.2487352,0.243761
G000011305,['G001277995'],0.19173099999999998,0.2243155,0.22482049999999998
G000011345,['G000505665'],0.057903300000000005,0.26228553,0.295981
G000011365,['G000284375'],0.07406979999999999,0.13305798,0.1139165
G000011385,"['G000484535', 'G000568255', 'G000622145', 'G000799305']",0.263022,0.2827974,0.295981
G000011405,['G000478845'],7.15897e-05,0.00043049534,0.000508006
G000011465,['G000015665'],0.12214000000000001,0.1712196,0.17440799999999998
G000011485,['G001632075'],0.0239829,0.07756964999999999,0.033390100000000006
G000011545,['G000011705'],0.0110007,0.15597227,0.1745495
G000011565,"['G000751535', 'G001499655']",0.203604,0.2623959,0.263022
G000011645,['G900093775'],0.156619,0.22276089999999998,0.23010999999999998
G000011685,['G000311765'],0.18226900000000001,0.20804699999999998,0.21156750000000002
G000011705,['G000011545'],0.0110007,0.15333167,0.17104799999999998
G000011745,['G000007365'],0.21089699999999997,0.2429617,0.243761
G000011805,['G000953695'],0.159146,0.21064449999999998,0.219531
G000011905,['G000830905'],0.022857099999999998,0.04970085,0.05101699999999999
G000011945,['G000215525'],0.00028831,0.006369945,0.00611156
G000011965,['G000161775'],0.167688,0.198568,0.203604
G000011985,['G000497815'],0.012872,0.17181829999999998,0.1877325
G000012005,['G000008865'],0.0232268,0.07791404,0.0335844
G000012065,['G000956315'],0.00381583,0.054152901999999996,0.03806759999999999
G000012085,['G000568735'],0.0242917,0.09277222,0.0965308
G000012145,['G000828125'],0.0348125,0.05697627,0.05945375
G000012225,['G000495255'],0.0563082,0.17590691,0.184109
G000012245,['G000007805'],0.11478,0.17841579999999999,0.18451499999999998
G000012285,"['G001559985', 'G001560085', 'G001560135']",2.3827399999999998e-05,4.5311460000000005e-05,4.769060000000001e-05
G000012305,"['G000471625', 'G001606025']",0.170926,0.2236879,0.243761
G000012325,['G001444365'],0.18676099999999998,0.24232499999999998,0.263022
G000012345,"['G000155895', 'G000299095', 'G000472605']",0.18676099999999998,0.21493969999999998,0.22482049999999998
G000012385,['G000018245'],0.00170624,0.127156478,0.1566845
G000012405,['G000341165'],0.203604,0.22534359999999998,0.23010999999999998
G000012425,['G000519045'],0.167688,0.2290838,0.243761
G000012465,['G000015685'],0.0233762,0.19953838999999998,0.263022
G000012485,['G000016085'],0.164662,0.2611571,0.263022
G000012505,['G000153805'],0.08878330000000001,0.22367103,0.2369355
G000012525,['G000817325'],0.00011949600000000001,0.2336374456,0.295981
G000012545,['G001729395'],0.00331442,0.23512514199999998,0.263022
G000012565,['G000825765'],0.07406979999999999,0.20727407999999997,0.2369595
G000012585,"['G000020625', 'G000020645', 'G001975465']",0.263022,0.2860933,0.295981
G000012605,"['G000711305', 'G000744875']",0.23010999999999998,0.260549,0.2533915
G000012645,['G000015645'],0.09038310000000001,0.09725933,0.09782235
G000012665,['G000482745'],0.00763299,0.198000899,0.219531
G000012685,['G000219105'],0.0762985,0.19400075,0.20044800000000002
G000012725,['G000013885'],0.14382999999999999,0.2093967,0.219531
G000012745,['G000373385'],0.159146,0.21676199999999998,0.23010999999999998
G000012805,['G000143085'],0.0898429,0.24343448999999998,0.263022
G000012825,['G000438035'],0.014923400000000002,0.1679832,0.1976675
G000012845,['G000969835'],0.203604,0.2326708,0.243761
G000012865,['G000427565'],0.0212923,0.23884903,0.263022
G000012885,"['G000006985', 'G000010425', 'G000013285', 'G000021045', 'G000023205', 'G000023945', 'G000025305', 'G000153765', 'G000169155', 'G000188175', 'G000196655', 'G000215955', 'G000221145', 'G000222125', 'G000224515', 'G000228725', 'G000231405', 'G000242595', 'G000261485', 'G000297055', 'G000299335', 'G000305785', 'G000308755', 'G000312045', 'G000316685', 'G000317065', 'G000334215', 'G000341545', 'G000349845', 'G000374805', 'G000376425', 'G000378405', 'G000379125', 'G000379605', 'G000397205', 'G000420285', 'G000420545', 'G000422085', 'G000422965', 'G000425265', 'G000427445', 'G000429065', 'G000431075', 'G000433275', 'G000435075', 'G000445105', 'G000454045', 'G000470775', 'G000496195', 'G000516555', 'G000520555', 'G000622365', 'G000687875', 'G000711825', 'G000714545', 'G000735365', 'G000759025', 'G000771805', 'G000772295', 'G000785705', 'G000820205', 'G000820765', 'G000826685', 'G000968535', 'G001278055', 'G001279585', 'G001411495', 'G001412105', 'G001426965', 'G001427385', 'G001434535', 'G001444425', 'G001447805', 'G001483135', 'G001515305', 'G001518815', 'G001594265', 'G001598495', 'G001613505', 'G001626685', 'G001654495', 'G001676765', 'G001686985', 'G001709315', 'G001714725', 'G001751225', 'G001767765', 'G001798055', 'G001802535', 'G001888095', 'G001889405', 'G001931505', 'G001953075', 'G900078695', 'G900102435', 'G900106905', 'G900107075', 'G900111115', 'G900112885', 'G900115425', 'G900143155']",0.295981,0.295981,0.295981
G000012905,['G000016405'],0.12100999999999999,0.18994819999999998,0.197292
G000012925,['G000817955'],0.154223,0.2351345,0.243761
G000012965,"['G001829655', 'G001829705', 'G001829785', 'G001830805']",0.197292,0.2041305,0.203604
G000012985,"['G000426365', 'G001953075']",0.263022,0.2893892,0.295981
G000013005,['G000186705'],0.161822,0.20394679999999998,0.21089699999999997
G000013025,['G000685315'],0.13694800000000001,0.2283334,0.2369355
G000013045,['G000419585'],0.243761,0.2808713,0.295981
G000013085,['G000284415'],0.21089699999999997,0.25010509999999997,0.2533915
G000013105,['G001594015'],0.164662,0.25318599999999997,0.263022
G000013125,['G000968455'],0.000680979,0.010724331,0.015347
G000013145,['G000632845'],0.13538,0.2080734,0.217746
G000013165,['G000022525'],0.0782587,0.25364477,0.295981
G000013185,['G000754265'],0.18676099999999998,0.2288125,0.23010999999999998
G000013205,['G000013225'],0.0981375,0.26301304999999997,0.27950149999999996
G000013225,['G000013205'],0.0981375,0.27290074999999997,0.295981
G000013285,['G000371465'],0.21089699999999997,0.2539573,0.263022
G000013325,['G000807925'],0.132399,0.2074983,0.219531
G000013345,['G000058485'],0.19173099999999998,0.22992390000000001,0.2369355
G000013365,['G001295845'],0.11019300000000001,0.1583196,0.161904
G000013405,"['G000007905', 'G000008525', 'G000008805', 'G000009305', 'G000010325', 'G000010405', 'G000011025', 'G000012745', 'G000013705', 'G000014585', 'G000015585', 'G000016345', 'G000019745', 'G000020545', 'G000020625', 'G000021025', 'G000023705', 'G000023745', 'G000023845', 'G000025705', 'G000062885', 'G000091985', 'G000093025', 'G000145255', 'G000148645', 'G000148725', 'G000153145', 'G000155495', 'G000155855', 'G000157915', 'G000158455', 'G000158615', 'G000160435', 'G000162575', 'G000163775', 'G000164695', 'G000168995', 'G000169115', 'G000173895', 'G000186165', 'G000187625', 'G000190695', 'G000194135', 'G000194925', 'G000194985', 'G000195375', 'G000196135', 'G000196295', 'G000196735', 'G000200595', 'G000204605', 'G000205025', 'G000212335', 'G000225005', 'G000226625', 'G000226875', 'G000227765', 'G000237285', 'G000242875', 'G000247645', 'G000257665', 'G000259255', 'G000259275', 'G000262405', 'G000276685', 'G000282995', 'G000294515', 'G000297775', 'G000315505', 'G000319245', 'G000327505', 'G000328625', 'G000340795', 'G000340825', 'G000340905', 'G000341545', 'G000349975', 'G000367205', 'G000367345', 'G000374345', 'G000374525', 'G000374625', 'G000376425', 'G000378225', 'G000382305', 'G000384355', 'G000384375', 'G000400505', 'G000401255', 'G000411515', 'G000420385', 'G000421525', 'G000422385', 'G000422405', 'G000422745', 'G000423425', 'G000423445', 'G000423485', 'G000423505', 'G000425105', 'G000425565', 'G000428745', 'G000428785', 'G000463665', 'G000470775', 'G000477435', 'G000477555', 'G000483025', 'G000496475', 'G000506865', 'G000507865', 'G000509365', 'G000511875', 'G000515275', 'G000515315', 'G000517565', 'G000518225', 'G000526195', 'G000582705', 'G000600005', 'G000617925', 'G000619965', 'G000620765', 'G000620925', 'G000685355', 'G000686565', 'G000686945', 'G000687535', 'G000703085', 'G000730475', 'G000735045', 'G000743945', 'G000744435', 'G000745895', 'G000745955', 'G000746095', 'G000746195', 'G000750955', 'G000756735', 'G000759715', 'G000762845', 'G000763375', 'G000763765', 'G000765665', 'G000765745', 'G000775775', 'G000799385', 'G000807215', 'G000818035', 'G000819865', 'G000826065', 'G000826085', 'G000828895', 'G000828915', 'G000828975', 'G000940995', 'G000953015', 'G000956535', 'G000972765', 'G000973625', 'G000975095', 'G000981505', 'G000983115', 'G001027865', 'G001038425', 'G001044335', 'G001063255', 'G001190015', 'G001282945', 'G001283065', 'G001293165', 'G001305515', 'G001308005', 'G001310795', 'G001418035', 'G001418255', 'G001424665', 'G001426925', 'G001431705', 'G001439535', 'G001458475', 'G001460635', 'G001465855', 'G001477055', 'G001552475', 'G001592185', 'G001619695', 'G001652465', 'G001775325', 'G001794125', 'G001794385', 'G001794575', 'G001794695', 'G001794735', 'G001795855', 'G001797845', 'G001803615', 'G001871365', 'G001871685', 'G001886395', 'G002017915', 'G900086555', 'G900103135', 'G900129315', 'G900156225']",0.295981,0.295981,0.295981
G000013445,['G001602695'],0.0455159,0.26571248999999997,0.295981
G000013565,"['G000161775', 'G900102905']",0.219531,0.2293593,0.23010999999999998
G000013605,['G000688255'],0.21089699999999997,0.2271308,0.23010999999999998
G000013625,['G000026125'],0.18226900000000001,0.2315998,0.243761
G000013645,['G001865575'],0.147707,0.1942904,0.20044800000000002
G000013665,"['G000146165', 'G001922955']",0.263022,0.2893892,0.295981
G000013705,['G000617925'],0.18676099999999998,0.22206659999999998,0.23010999999999998
G000013725,['G900111645'],0.23010999999999998,0.280876,0.295981
G000013745,['G000014825'],0.142009,0.169165,0.168115
G000013765,"['G000014705', 'G000178875']",0.219531,0.2340156,0.23010999999999998
G000013865,['G000688115'],0.17440799999999998,0.2027806,0.203604
G000013885,['G000012725'],0.14382999999999999,0.19673829999999998,0.203604
G000013945,['G000243815'],0.0778587,0.13223917999999998,0.1345015
G000013985,['G001468395'],0.12571500000000002,0.1699416,0.167794
G000014005,"['G000012925', 'G000021985', 'G000189295', 'G000231035', 'G000422205', 'G000425625', 'G000526515', 'G000684975', 'G000715825', 'G000733855', 'G000739995', 'G000745965', 'G001422445', 'G001617355', 'G900116045']",0.263022,0.263022,0.263022
G000014025,['G000284235'],0.13097899999999998,0.2030015,0.21156750000000002
G000014045,['G000154785'],0.09684630000000001,0.23242483,0.243761
G000014125,['G000204565'],0.159146,0.2298863,0.243761
G000014145,['G000379725'],0.17440799999999998,0.2805278,0.295981
G000014185,"['G000341105', 'G000661895', 'G000695235', 'G000786195', 'G001270745']",0.243761,0.2533915,0.2533915
G000014205,['G000017005'],0.11575899999999999,0.18450539999999999,0.1945115
G000014225,['G000767305'],0.0794837,0.19267374999999998,0.18585
G000014245,['G000518985'],0.21089699999999997,0.2339563,0.2369355
G000014265,['G000987385'],0.11778499999999999,0.24849829999999998,0.263022
G000014285,"['G000010825', 'G000021325', 'G000164635', 'G000613285', 'G000963925', 'G001941945']",0.243761,0.2514654,0.243761
G000014345,['G000283915'],0.00884936,0.092621136,0.101551
G000014385,['G000286215'],0.00399629,0.0047556560000000005,0.004705620000000001
G000014425,"['G000296835', 'G001436125']",0.18226900000000001,0.2282355,0.2369355
G000014445,['G001541125'],0.011938299999999999,0.06020476,0.01500765
G000014465,['G000383435'],0.167688,0.1996513,0.203604
G000014505,['G001437075'],0.161822,0.22167189999999998,0.23010999999999998
G000014525,['G000309705'],0.013305899999999999,0.01534981,0.015590900000000001
G000014565,['G000341795'],0.197292,0.2201405,0.22482049999999998
G000014585,['G001040845'],0.0730018,0.20824457999999998,0.23010999999999998
G000014605,['G000478845'],7.15897e-05,0.00043049534,0.000508006
G000014705,['G000013765'],0.219531,0.2567468,0.263022
G000014725,['G001570625'],0.058848300000000006,0.27226773,0.295981
G000014745,"['G000153465', 'G000685215', 'G000938305', 'G000971055', 'G001310255']",0.23010999999999998,0.2369355,0.2369355
G000014765,['G000009145'],0.178173,0.25124589999999997,0.263022
G000014785,"['G000768335', 'G000972865']",0.219531,0.2348197,0.2369355
G000014805,['G000819865'],0.0987984,0.15431372,0.1429925
G000014825,['G000013745'],0.142009,0.1774064,0.1783385
G000014865,"['G000010525', 'G000013025', 'G000022005', 'G000023745', 'G000145255', 'G000153385', 'G000160695', 'G000170715', 'G000178955', 'G000223375', 'G000225995', 'G000244895', 'G000244975', 'G000373765', 'G000378465', 'G000379125', 'G000380185', 'G000382325', 'G000407165', 'G000422705', 'G000422845', 'G000483485', 'G000484635', 'G000503915', 'G000511935', 'G000597805', 'G000709085', 'G000711985', 'G000739575', 'G000744705', 'G000801295', 'G000814475', 'G000828075', 'G000967645', 'G000991385', 'G000991575', 'G000991965', 'G000992325', 'G001005265', 'G001025035', 'G001043175', 'G001278805', 'G001424525', 'G001427865', 'G001457815', 'G001458175', 'G001469865', 'G001580025', 'G001594015', 'G001829555', 'G001830685', 'G001830725', 'G001830745', 'G001870225', 'G001887595', 'G001940855', 'G001952815', 'G900100875', 'G900102215', 'G900110675', 'G900113695', 'G900116365']",0.295981,0.295981,0.295981
G000014885,['G000018285'],0.203604,0.2527311,0.263022
G000014905,"['G000231035', 'G000380505', 'G000384315', 'G000423465', 'G000508185', 'G000768345', 'G000938305', 'G000964085', 'G001021935', 'G001312805', 'G001424165', 'G001617355', 'G001652565']",0.263022,0.263022,0.263022
G000014925,['G001542565'],0.170926,0.199819,0.20044800000000002
G000014945,"['G000025705', 'G000143145', 'G000154305', 'G000235565', 'G000306725', 'G000312005', 'G000317045', 'G000328665', 'G000373365', 'G000409775', 'G000422985', 'G000430725', 'G000432215', 'G000444875', 'G001043175', 'G001269425', 'G001404455', 'G001421175', 'G001508615', 'G001509375', 'G001580015', 'G001602645', 'G001697225', 'G001798805', 'G001800795', 'G001804785', 'G001875425', 'G001896725', 'G900102545']",0.295981,0.295981,0.295981
G000014965,['G000519125'],0.203604,0.22498189999999998,0.23010999999999998
G000015005,['G000612825'],0.164662,0.18980529999999998,0.19173099999999998
G000015025,['G000312105'],0.243761,0.2610959,0.263022
G000015045,"['G000012925', 'G000204645']",0.23010999999999998,0.244883,0.243761
G000015105,['G000010405'],0.17440799999999998,0.2574612,0.263022
G000015125,['G000020465'],0.178173,0.2598575,0.27950149999999996
G000015145,"['G000223395', 'G001462395']",0.243761,0.2690575,0.263022
G000015205,['G000019805'],0.1233,0.26552929999999997,0.27950149999999996
G000015225,"['G000015145', 'G000158915', 'G000186365', 'G000213215', 'G000223395', 'G000243315', 'G000253115', 'G000312005', 'G000312105', 'G000382705', 'G000422445', 'G000446015', 'G000565255', 'G000763905', 'G000813245', 'G000961135', 'G000993805', 'G001006085', 'G001011035', 'G001316085', 'G001412345', 'G001412615', 'G001417755', 'G001462395', 'G001593865', 'G001617355', 'G001683985', 'G001749745', 'G001940725', 'G900102435', 'G900111115']",0.295981,0.295981,0.295981
G000015245,"['G000712635', 'G000947195']",0.23010999999999998,0.2564396,0.263022
G000015265,['G000620645'],0.149777,0.18250729999999998,0.18676099999999998
G000015285,"['G000482725', 'G000953695']",0.243761,0.2591698,0.263022
G000015305,['G001655245'],0.145727,0.170559,0.172667
G000015345,['G001854245'],0.243761,0.2742795,0.263022
G000015405,['G000184435'],0.145727,0.1664201,0.16930699999999999
G000015445,['G000607205'],7.15897e-05,0.00299328557,0.00316966
G000015505,['G000688115'],0.19173099999999998,0.2025148,0.203604
G000015565,['G000193225'],0.164662,0.2020939,0.2072505
G000015585,"['G001614315', 'G900100655']",0.243761,0.2591698,0.263022
G000015645,['G001627475'],0.0517248,0.06063085,0.05933115
G000015665,['G000011465'],0.12214000000000001,0.19109600000000002,0.203604
G000015685,['G000012465'],0.0233762,0.1927332,0.2533915
G000015705,['G001631985'],0.026904700000000004,0.08193951,0.0431041
G000015725,['G001293525'],0.17440799999999998,0.1917852,0.1945115
G000015745,['G001412125'],0.00873204,0.164386904,0.1578825
G000015765,['G001602685'],0.10684500000000001,0.2559519,0.295981
G000015805,"['G000015205', 'G000247545']",0.263022,0.2893892,0.295981
G000015825,['G000691865'],0.0461689,0.12125368,0.133276
G000015865,['G000521465'],0.138572,0.2064573,0.219531
G000015885,['G000376645'],0.18226900000000001,0.1954589,0.1945115
G000015945,['G000092465'],0.12214000000000001,0.2785969,0.295981
G000015965,['G000015645'],0.05767100000000001,0.06573236,0.0662715
G000016065,['G000518705'],0.18226900000000001,0.2343895,0.243761
G000016085,['G000012485'],0.164662,0.2460521,0.263022
G000016165,['G000315365'],0.21089699999999997,0.2471852,0.263022
G000016185,['G001939945'],0.18676099999999998,0.2279491,0.23010999999999998
G000016285,['G000518785'],0.203604,0.22150099999999998,0.22482049999999998
G000016325,['G000025565'],0.151946,0.1802186,0.18676099999999998
G000016345,['G000019745'],0.178173,0.23455969999999998,0.243761
G000016385,['G000247545'],0.03923309999999999,0.25414331,0.295981
G000016405,['G000012905'],0.12100999999999999,0.1997204,0.21089699999999997
G000016425,['G000018265'],0.11197,0.1932322,0.197292
G000016505,['G000484505'],0.219531,0.2482383,0.2533915
G000016525,['G000824705'],0.013354699999999999,0.13084042,0.1298451
G000016545,['G000404025'],0.030875,0.14114485,0.1376655
G000016565,['G000213805'],0.145727,0.1568307,0.1578825
G000016605,"['G000747605', 'G001266715']",2.3827399999999998e-05,0.19016513454,0.243761
G000016645,['G001705175'],0.138572,0.221828,0.2369355
G000016665,['G000017805'],0.197292,0.2644106,0.263022
G000016705,['G001460955'],0.011711200000000001,0.01324912,0.013503049999999999
G000016745,['G000022265'],0.21089699999999997,0.2558834,0.263022
G000016765,['G000971055'],0.164662,0.1877126,0.18676099999999998
G000016785,['G000025105'],0.018992500000000002,0.06324276000000001,0.03352965
G000016825,['G000159435'],0.197292,0.23678139999999998,0.2369355
G000016885,['G000685805'],0.197292,0.2310127,0.2369355
G000016905,['G000021285'],0.243761,0.2676877,0.263022
G000016985,['G000724485'],0.243761,0.2610959,0.263022
G000017005,['G000014205'],0.11575899999999999,0.1780716,0.18022100000000002
G000017045,['G000063585'],0.00205363,0.215002863,0.2369355
G000017105,['G000007765'],0.00492718,0.266875618,0.295981
G000017145,['G000006965'],0.129604,0.19433299999999998,0.203604
G000017165,['G000017225'],0.17440799999999998,0.24175509999999997,0.263022
G000017185,['G000376965'],0.167688,0.23840709999999998,0.2533915
G000017225,['G000018485'],0.07335449999999999,0.22516808,0.263022
